SMILES,PA
Cc1cccc(C)c1,189.70
[As],180.90
FBF,115.00
FB(F)F,115.00
BB,147.00
BrC#N,179.00
ClC#N,177.00
ClCCl,194.70
FCF,178.50
FC(F)(F)F,121.00
FC(F)F,147.00
C#N,174.50
FCF,147.00
CBr,163.00
CF,151.00
CI,174.00
C[N+]([O-])=O,182.00
CON=O,190.30
CS,185.30
CN,213.70
CP,201.80
O=C=O,129.10
S=C=S,168.00
ClC(Cl)(Cl)C#N,177.50
FC=C(F)F,172.00
OC(=O)C(F)(F)F,171.90
ClCC#N,180.90
FC(F)=C,178.00
F\C=C/F,166.00
F\C=C\F,167.00
OC(=O)CCl,184.00
OCC(Cl)(Cl)Cl,179.00
FC=C,174.00
OC(=O)CF,184.50
OCC(F)(F)F,172.20
CC#N,189.50
CN=C=S,189.00
CSC#N,189.00
C=C,160.60
OCC(F)F,177.90
NCC(F)(F)F,197.90
NCC#N,197.00
CC=O,186.00
CC(O)=O,188.20
CCBr,171.00
CCF,165.00
NCC(F)F,205.90
CCI,175.00
C1CN1,212.80
CC(N)=O,205.70
CNC=O,202.80
CC[N+]([O-])=O,186.00
CCO[N+]([O-])=O,181.00
CC,139.60
NCCF,210.20
CN=NC,204.50
CCO,186.20
COC,189.10
C[S](C)=O,208.30
CCS,189.30
CSC,197.60
CCN,214.00
NCCN,216.50
N#CCC#N,177.70
COC(=O)C(F)(F)F,180.30
FC(F)(F)COC=O,180.80
C=CC#N,187.90
CC#C,176.00
[CH2]=[C]=[CH2],176.00
C1C=C1,194.00
CCCCCC=C,181.10
[Cl-].[NH3+]CC#C,209.00
C1CC1,180.60
CC=C,180.00
NCCC(F)(F)F,209.00
CN(C)C(F)(F)F,192.00
NCCC#N,204.50
CNCC#N,206.45
CC(C)=O,193.60
CCC=O,187.00
C1COC1,194.00
CSC(C)=O,197.00
CCC(O)=O,191.10
COC(C)=O,194.10
CCOC=O,191.10
COC(=O)OC,197.20
CSC(C)=S,197.00
NCC=C,213.70
C1CNC1,220.10
CN1CC1,219.40
CN(C)C=O,209.00
CCC,143.00
CCCO,188.80
CCOC,194.00
CC(C)S,192.00
CCCS,189.70
CCSC,200.70
C[As](C)C,210.60
CC(C)N,216.50
CN(C)C,222.10
CCCN,215.50
CCNC,220.40
COCCN,221.00
CP(C)C,223.30
NCCCN,231.60
c1ccnnc1,213.80
c1cncnc1,208.60
c1cnccn1,206.40
o1cccc1,189.80
CCOC(=O)C(F)(F)F,183.20
[nH]1cccc1,205.90
N#CC1CC1,193.20
CCOC(=O)C#N,180.90
Cn1ccnc1,225.10
CCOCC(F)(F)F,184.90
CC(C)C#N,192.00
CCCC#N,191.20
CCC=C,183.20
C\C=C/C,181.90
C\C=C\C,180.90
CN(C)CC(F)(F)F,212.40
NCCCC(F)(F)F,212.30
CN(C)CC#N,208.70
CC(C)C=O,190.60
CCC(C)=O,197.00
C1CCOC1,196.40
CCCC=O,189.70
C1COCCO1,190.90
CCC(=O)OC,197.60
CC(C)OC=O,193.20
[H+].[Cl-].C1CCNC1,221.90
CCN=CC,220.50
C1COCCN1,216.80
CC(C)C(N)=O,213.90
CCCC,166.80
C1CNCCN1,218.90
CCOCC,196.10
CCCCO,189.30
CC(C)(C)S,194.60
CCSCC,202.60
CC(C)(C)N,218.80
CC(C)CN,216.70
CCCCN,216.00
CCNCC,222.70
CCN(C)C,224.50
CCC(C)N,217.70
NCCCCN,236.60
[Fe].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+],200.00
Clc1ccccn1,211.80
Clc1cccnc1,212.30
Clc1ccncc1,215.00
Fc1cccnc1,211.50
Fc1ccccn1,208.40
Fc1ccncc1,218.23
[O-][N+](=O)c1ccncc1,206.20
c1ccncc1,218.10
C=CC1CC1,195.20
CC(=O)C1CC1,202.20
CC(=O)CC(C)=O,204.60
COC(=O)C1CC1,200.00
CCCCC#N,191.90
CC=C(C)C,194.40
CCC(C)=C,197.32
CCC(=O)CC,212.00
CC1CCCO1,200.30
CCCCC=O,190.60
CC(C)C(C)=O,198.60
CCCOC(C)=O,200.10
CCCCOC=O,192.50
C1CCNCC1,223.10
CN1CCCC1,225.60
CCOC(=O)N(C)C,211.20
CCOC(C)C,200.70
COC(C)(C)C,199.50
CCCCCN,216.40
CCC(C)(C)[NH3+],220.10
CC[NH+](C)CC,226.70
CC(C)N(C)C,226.70
CC(C)(C)CN,217.20
CCNC(C)C,224.20
NCCCCCN,234.60
Fc1c(F)c(F)c(F)c(F)c1F,178.50
Fc1cc(F)c(F)c(F)c1F,180.30
Fc1cc(F)c(F)cc1F,180.30
Fc1ccc(F)c(F)c1F,180.40
Fc1cc(F)c(F)c(F)c1,180.50
Fc1ccc(F)c(F)c1,181.35
Fc1cc(F)cc(F)c1,181.15
Fc1ccccc1F,181.35
Fc1cccc(F)c1,171.67
FC(F)(F)c1ccccn1,209.00
FC(F)(F)c1cccnc1,210.00
FC(F)(F)c1ccncc1,210.30
N#Cc1ccncc1,207.60
N#Cc1ccccn1,205.60
Clc1ccccc1,181.90
Fc1ccccc1,182.20
[O-][N+](=O)c1ccccc1,192.20
c1ccccc1,180.10
Nc1ccc(Cl)cc1,206.90
Nc1cccc(Cl)c1,205.90
Nc1cccc(F)c1,205.40
C#CCOCC#C,188.50
Nc1ccccc1,203.80
Cc1ccncc1,222.10
Cc1cccnc1,220.80
Cc1ccccn1,221.60
C#CCNCC#C,213.80
COc1ccncc1,229.80
CN1C=CC=CC1=O,217.20
COc1ccccn1,219.20
Cc1[nH]c2C(=O)N=C(N)Nc2n1,222.00
CCCCOC(=O)C(F)(F)F,184.40
CC1=CCCC1,195.00
CC(=C)C1CC1,207.10
CCCCNC(=O)C(F)(F)F,201.70
O=C1CCCCC1,204.00
C=CCOCC=C,197.40
C=CCNCC=C,221.80
CN1CCCCC1=O,216.80
CC\C(C)=C\C,196.10
CCC=C(C)C,196.40
CCCC(C)=C,198.20
C1CN2CCN1CC2,225.90
CC(=O)C(C)(C)C,199.60
COC(=O)C(C)(C)C,200.00
NC1CCCCC1,218.50
[H+].[Cl-].CN1CCCCC1,226.60
CC(C)OC(C)C,203.00
CCOC(C)(C)C,203.30
CCCSCCC,204.00
CC(C)SC(C)C,206.90
CC(C)NC(C)C,226.60
CCCCCCN,216.50
CCN(CC)CC,229.00
C[NH+](C)C(C)(C)C,228.00
CN(C)CCN(C)C,232.00
NCCCCCCN,235.40
CN(C)C[Si](C)(C)C,227.70
Clc1ccc(C=O)cc1,197.60
Fc1cccc(C=O)c1,194.10
Fc1ccc(C=O)cc1,196.70
O=Cc1ccccc1,193.20
CC(=O)c1cccnc1,214.40
Cc1ccccc1,137.50
COc1ccccc1,181.20
CNc1ccccc1,217.40
Cc1ccc(N)cc1,211.60
Cc1cccc(N)c1,211.60
Cc1ccnc(C)c1,225.10
Cc1ccc(C)nc1,224.50
Cc1cncc(C)c1,223.50
COc1ccccc1N,217.40
COc1ccc(N)cc1,212.30
COc1cccc(N)c1,214.00
C1CC2CC1C=C2,198.80
CC1=CCCCC1,196.60
C1CN2CCC1CC2,228.60
CCCCCCCN,216.50
C(c1ccc(C([2H])([2H])[2H])cc1)([2H])([2H])[2H],189.80
FC(F)(F)c1ccc(C=O)cc1,189.10
O=Cc1ccc(cc1)C#N,185.40
C=Cc1ccccc1,199.30
CC(=O)c1ccccc1,203.00
Cc1ccc(C=O)cc1,201.80
COC(=O)c1ccccc1,200.00
COc1ccc(C=O)cc1,210.80
Cc1ccccc1C,191.10
CCc1ccccc1,189.60
Cc1ccc(C)cc1,188.92
Cc1cccc(C)c1,194.60
CCNc1ccccc1,220.00
CN(C)c1ccccc1,220.10
CC(C)(C)SC(C)(C)C,210.40
CC[C@H](C)[NH2+][C@H](C)CC,228.99
CCCCNCCCC,225.00
CCC(C)NC(C)CC,228.10
CCN(C(C)C)C(C)C,231.40
CC(C)(C)NC(C)(C)C,229.90
CC(=C)c1ccc(Cl)cc1,203.00
CC(=C)c1ccc(F)cc1,204.70
C#CCN(CC#C)CC#C,217.00
CC(=C)c1ccccc1,205.20
Cc1cc(C)cc(C)c1,198.40
OCC1OC(C(O)C1O)N2C=CC(=O)NC2=O,207.00
CN(C)c1cccc(C)c1,221.00
CCN(C)c1ccccc1,226.60
NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,222.00
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2CCC(=O)NC2=O,207.00
C=CCN(CC=C)CC=C,226.80
CCCN(CCC)CCC,230.90
c1ccc2cccc2cc1,223.30
[Fe++].[cH-]1cccc1.[cH-]2cccc2,208.00
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3cncnc23,222.00
COc1ccc(cc1)C(C)=C,214.60
C1CCN(C1)c2ccccc2,221.40
Nc1ncnc2n(cnc12)C3CCCC3,222.10
Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,222.00
CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,207.00
CCN(CC)c1ccccc1,229.30
C1CC2CCCN(C1)CCC2,227.90
C1CN2CCC1c3ccccc23,228.30
C1CCN(CC1)c2ccccc2,223.90
CC1(C)O[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O1)N3C=CC(=O)NC3=O,207.00
OC(=O)Cc1ccc(O)c(O)c1,232.00
O=C(c1ccccc1)c2ccccc2,210.87
CC1(C)O[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O1)n3cnc4C(=O)N=C(N)Nc34,222.00
CC(C)(C)c1cccc(n1)C(C)(C)C,228.40
C=C(c1ccccc1)c2ccccc2,209.20
CC[P](=O)(c1ccccc1)c2ccccc2,220.00
CC(C)[P](=O)(c1ccccc1)c2ccccc2,220.00
CCCC[P](=O)(c1ccccc1)c2ccccc2,220.00
c1ccc(cc1)N(c2ccccc2)c3ccccc3,217.23
[H+].[Cl-],120.00
[2H][2H],98.00
[H+].[F-],112.00
OF,134.00
FN(F)F,151.00
F[S](F)(F)(F)(F)F,144.00
[H+].[I-],145.00
[OH-].[K+],263.50
[H],99.90
O,167.00
S,173.90
N,197.00
P,200.00
NN,221.00
[Si],155.00
[He],41.50
N=O,127.00
N#N,112.60
[N-]=[N+]=O,138.00
O=O,100.90
O=[S](=O)=O,142.00
[Xe],113.20
O=C1NC=CC(=O)N1,205.00
Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,236.40
NCC(O)=O,211.83
NC(CS)C(O)=O,215.87
CC(N)C(O)=O,213.79
CC(C)C(N)C(O)=O,217.60
NC(CCCN=C(N)N)C(O)=O,236.30
NC(Cc1[nH]cnc1)C(O)=O,236.23
NC(Cc1ccc(O)cc1)C(O)=O,221.30
NC(CC(O)=O)C(O)=O,217.23
NC(CO)C(O)=O,216.18
NC1=NC(=O)c2ncn(C3OC(CO)C(O)C3O)c2N1,237.42
NCCCCC(N)C(O)=O,238.05
CSCCC(N)C(O)=O,223.56
NC1=CC=NC(=O)N1,227.03
NCCc1[nH]cnc1,238.95
OC(=O)C1CCCN1,221.29
NC(CCC(O)=O)C(O)=O,234.66
